                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   1.26,                 2.3096,                 1.5282,                0.46399,                 0.3084,                0.27312,                0.13966,                 2.1587,                 3.3414,                 2.1946,             0.00055344,             0.00055344,             0.00055344
                      2,                 1.3623,                  1.907,                  1.597,                0.38079,                0.26889,                0.24264,                0.13059,                 2.1411,                 3.1108,                 2.2255,              0.0010981,              0.0010981,              0.0010981
                      3,                 1.4167,                 1.8279,                 1.6499,                0.69546,                  0.195,                0.16398,                0.06308,                  2.376,                 3.1523,                 2.5019,              0.0016318,              0.0016318,              0.0016318
                      4,                 1.3917,                 1.7199,                 1.6335,                0.36583,                0.29274,                0.27915,                0.15569,                 2.1358,                 2.5851,                 2.1916,              0.0016175,              0.0016175,              0.0016175
                      5,                  1.352,                 1.6684,                 1.5959,                0.33369,                0.36056,                0.27831,                0.12282,                 2.1905,                 2.4742,                  2.329,              0.0016175,              0.0016175,              0.0016175
                      6,                 1.3072,                  1.565,                 1.5769,                0.79465,                0.24869,                0.32122,                0.16913,                 1.9709,                 2.7291,                 2.0305,               0.001601,               0.001601,               0.001601
                      7,                  1.253,                  1.504,                 1.5302,                0.37487,                0.36222,                0.32109,                 0.1734,                 1.9831,                 2.2352,                 2.1115,              0.0015845,              0.0015845,              0.0015845
                      8,                 1.2455,                 1.4615,                 1.5226,                0.85515,                    0.2,                0.34041,                0.19848,                 1.9507,                 2.4425,                 2.0818,               0.001568,               0.001568,               0.001568
                      9,                 1.2337,                 1.4266,                 1.5114,                0.42103,                  0.515,                0.46784,                0.24488,                 1.9041,                 1.9218,                 1.9201,              0.0015515,              0.0015515,              0.0015515
                     10,                 1.1791,                 1.3523,                 1.4746,                0.58117,                0.40333,                  0.441,                0.23656,                 1.9583,                 1.9508,                 2.0085,               0.001535,               0.001535,               0.001535
                     11,                 1.1587,                 1.3128,                 1.4576,                0.38675,                0.47656,                0.42052,                0.22867,                 1.9349,                 1.9685,                 1.9768,              0.0015185,              0.0015185,              0.0015185
                     12,                 1.1597,                  1.306,                 1.4526,                0.45311,                0.44949,                0.46531,                0.24605,                 1.9502,                 1.8319,                 2.0137,               0.001502,               0.001502,               0.001502
                     13,                 1.1509,                 1.3054,                 1.4465,                0.65853,                0.51705,                0.57424,                0.28841,                 1.7814,                 1.7345,                 1.8949,              0.0014855,              0.0014855,              0.0014855
                     14,                 1.1486,                  1.279,                  1.447,                 0.5968,                0.56123,                 0.5769,                 0.2953,                 1.8266,                 1.8229,                 1.9096,               0.001469,               0.001469,               0.001469
                     15,                 1.1219,                 1.2132,                 1.4296,                0.49785,                0.52056,                0.52173,                0.26448,                 1.8586,                 1.7868,                 1.9124,              0.0014525,              0.0014525,              0.0014525
